Date|max_route_arrival_port|max_route_departure_port|max_route_count|distinct_ship_count
2021-03-24|RULED|CNXMN|1|1
2021-12-28|INBOM|CNDLC|5|1
2022-01-01|BEANR|NLRTM|10|38
2022-01-03|TRGEB|TRATV|208|177
2022-01-04|VNHPH|CNQZH|1|6
2022-01-06|SGSIN|VNSGN|2|12
2022-01-07|VNHPH|CNQZH|2|5
2022-01-10|VNHLG|CNYPG|8|10
2022-01-11|MXPVN|MXCZM|4|25
2022-01-12|INNSA|CNDCB|1|5
2022-01-13|SGSIN|VNHPH|2|1
2022-01-14|TRGEB|TRATV|221|224
2022-01-17|USLGB|CNSHA|32|4
2022-01-18|INVTZ|CNDYN|1|1
2022-01-20|SGSIN|VNCMT|12|5
2022-01-21|INENR|CNTAC|6|1
2022-01-22|MXLZC|CLIQQ|1|2
2022-01-23|INBOM|CNSHA|1|1
2022-01-24|INCOK|CNFAN|2|5
2022-01-25|SGSIN|VNHPH|2|16
2022-01-26|INNSA|CNMWN|2|15
2022-01-27|SGSIN|VNHPH|3|8
2022-01-29|INNSA|CNDCB|1|1
2022-01-31|USBRO|TRDLV|2|2
2022-02-01|TRGEB|TRATV|472|766
2022-02-02|MXZLO|CNDCB|1|3
2022-02-03|MXZLO|CNSHA|1|1
2022-02-05|INMAA|CNCGM|2|2
2022-02-07|USLGB|CNYTN|15|15
2022-02-08|USHOU|TRKFZ|1|1
2022-02-09|VNHPH|CNTNG|10|7
2022-02-10|VNHPH|CNTNG|3|13
2022-02-11|MXPVN|MXCZM|6|34
2022-02-12|INHAL|CNZPU|9|3
2022-02-13|INGGV|CNLYG|3|5
2022-02-14|TRATV|TRGEB|222|201
2022-02-15|MXPVN|MXCZM|4|39
2022-02-16|INBOM|CNSHA|4|4
2022-02-17|INKRI|CNQZH|6|23
2022-02-18|INHZR|CNSHA|4|2
2022-02-19|INMUN|CNRZH|1|2
2022-02-22|VNCMT|CNCAN|4|6
2022-02-24|VNNGH|CNDGG|2|14
2022-02-25|TRATV|TRGEB|240|183
2022-02-26|INMAA|CNSHA|3|4
2022-03-01|TRATV|TRGEB|494|825
2022-03-02|SGSIN|VNCMT|4|7
2022-03-03|ARAVR|CNJNZ|1|6
2022-03-04|INMAA|CNSHA|9|11
2022-03-05|INKRI|CNLYA|2|9
2022-03-06|INJGD|CNLSN|3|2
2022-03-07|INIXY|CNNTG|8|11
2022-03-08|VNDQT|TWHUN|1|11
2022-03-09|MXPVN|MXCZM|5|25
2022-03-10|VNSGN|VNCMT|7|64
2022-03-11|TRGEB|TRATV|137|152
2022-03-12|INMUN|CNFAN|2|2
2022-03-14|MXPVN|MXCZM|5|26
2022-03-15|TRGEB|TRATV|244|204
2022-03-16|INIXY|CNXMN|3|3
2022-03-17|INDAH|CNCWN|10|24
2022-03-18|INVTZ|CNJIJ|4|10
2022-03-19|INVTZ|CNJIJ|42|3
2022-03-20|USLAX|CNNGB|38|13
2022-03-21|PHMNL|CNQZL|1|8
2022-03-22|INGGV|CNFAN|1|2
2022-03-23|INKAK|CNNJG|4|3
2022-03-24|INBOM|CNCZX|3|3
2022-03-25|INIXY|CNQZH|4|13
2022-03-26|USNNS|DEHAM|4|17
2022-03-27|INKRK|CNLKU|1|2
2022-03-28|INKAK|CNJMN|2|10
2022-03-29|VNCMT|CNYTN|2|8
2022-03-30|USPVD|DEEME|2|5
2022-03-31|VNHPH|CNFAN|2|14
2022-04-01|DKROD|DEPUT|41|577
2022-04-02|IDPLM|VNCLO|1|1
2022-04-03|INBOM|CNHUI|2|5
2022-04-05|VNHPH|CNQZH|6|17
2022-04-06|MXZLO|CNSHA|4|1
2022-04-07|MXCZM|MXPVN|3|41
2022-04-08|SGSIN|VNSGN|9|8
2022-04-09|PHLIM|JPSHA|1|1
2022-04-10|INHZR|CNZOS|1|6
2022-04-12|USLGB|CNYTN|16|7
2022-04-13|INPPT|CNFAN|2|2
2022-04-14|INKAK|CNNTG|2|12
2022-04-15|INCOK|CNXMN|7|7
2022-04-16|VNHPH|CNXMN|2|6
2022-04-17|USLAX|CNNGB|12|5
2022-04-18|VNHPH|CNQZH|3|14
2022-04-19|MXLZC|MXZLO|4|39
2022-04-20|SGSIN|VNCMT|3|7
2022-04-21|INKAK|CNFAN|9|7
2022-04-22|VNHPH|CNSHA|4|17
2022-04-23|INKRI|CNSON|8|3
2022-04-25|INDMA|CNLYA|3|11
2022-04-27|USHOU|TREZI|1|17
2022-04-28|SGSIN|VNCMT|6|8
2022-04-29|INBOM|CNSHA|4|9
2022-04-30|INVTZ|JPYOS|4|8
2022-05-01|BEANR|NLRTM|68|584
2022-05-02|BRTTE|CNJGJ|1|3
2022-05-03|INPPT|CNPLI|2|1
2022-05-04|OMSLL|INPAV|1|3
2022-05-05|INTUT|CNLYA|2|4
2022-05-06|SGSIN|VNCMT|6|30
2022-05-07|INDMA|CNZOS|3|2
2022-05-09|INMUN|CNCGS|3|14
2022-05-10|SGSIN|VNDQT|1|1
2022-05-11|EGSCN|INMAA|2|12
2022-05-12|MXCZM|MXPVN|5|37
2022-05-13|MXCZM|MXPVN|6|28
2022-05-15|INMUN|CNTNG|1|1
2022-05-16|INNSA|CNQZH|3|2
2022-05-17|VNCMT|CNSHK|1|17
2022-05-18|USFPO|CNJMN|9|24
2022-05-19|USSEA|CNNTG|6|6
2022-05-21|INKRI|CNLSN|1|4
2022-05-24|BEANR|TRDYL|1|2
2022-05-25|VNHPH|CNQZH|4|14
2022-05-26|INIXY|CNZOS|2|7
2022-05-27|VNNGH|TWHOP|1|8
2022-05-29|INMUN|CNLYA|5|6
2022-05-31|USHOU|TREZI|2|4
2022-06-01|BEANR|NLRTM|84|732
2022-06-02|INVTZ|CNLYG|9|3
2022-06-03|USEWR|TRHAY|4|23
2022-06-04|INBOM|CNDGG|4|3
2022-06-06|LKCMB|INCOK|4|31
2022-06-07|USGLC|TRMER|6|5
2022-06-08|VNCMT|VNSGN|5|59
2022-06-09|INVTZ|CNZJG|4|9
2022-06-10|SGSIN|VNHPH|4|27
2022-06-11|USSEA|CNNGB|6|2
2022-06-12|KEMBA|INMUN|2|1
2022-06-13|BEANR|TRNEM|4|8
2022-06-14|MXCZM|MXPVN|10|24
2022-06-15|TRAUT|CNTNG|3|12
2022-06-16|USLAX|CNYTN|28|18
2022-06-17|INTUT|CNQZH|3|21
2022-06-18|INIXY|CNTNG|1|3
2022-06-19|INTUT|CNCGS|3|6
2022-06-20|INVTZ|CNJIJ|1|5
2022-06-21|VNHPH|CNSHA|2|17
2022-06-22|BEANR|TRYIK|4|1
2022-06-23|INPPT|CNJIJ|5|5
2022-06-24|VNCMT|VNGDA|4|89
2022-06-25|INIXY|CNTAC|2|7
2022-06-26|INBOM|CNSHA|2|3
2022-06-27|INHZR|CNSHP|3|15
2022-06-28|INTUT|CNSON|1|7
2022-06-29|VNHPH|CNQZH|2|14
2022-06-30|INKRI|CNRZH|6|17
2022-07-01|BEANR|NLRTM|66|821
2022-07-02|INKAK|CNZHE|1|10
2022-07-03|INKRI|CNCZX|2|3
2022-07-04|VNCMT|VNSGN|14|88
2022-07-05|USPLQ|TRIZM|1|2
2022-07-06|USCRP|PAPCN|8|15
2022-07-07|INGGV|CNSHP|2|20
2022-07-08|VNHPH|CNMWN|1|9
2022-07-09|INMAA|CNTNG|8|22
2022-07-10|INPPT|CNZHA|4|3
2022-07-11|VNHPH|VNSGN|8|106
2022-07-12|INPPT|CNTNG|1|3
2022-07-13|INNML|CNNTG|3|6
2022-07-14|MXCZM|MXPVN|5|96
2022-07-15|INTUT|CNTNG|2|5
2022-07-16|VNHLG|CNSTB|2|11
2022-07-17|INKRI|CNYNT|9|7
2022-07-18|VNSGN|VNHPH|8|82
2022-07-19|VNHPH|CNMWN|1|12
2022-07-20|INGGV|CNLYG|4|3
2022-07-21|INHZR|CNDLC|6|20
2022-07-22|INKRI|CNCGM|5|15
2022-07-23|INENR|CNLYG|2|4
2022-07-24|INNSA|CNQZH|2|3
2022-07-25|USPAE|CNHUI|20|3
2022-07-26|VNCMT|VNSGN|7|79
2022-07-27|INMAA|CNTNG|1|16
2022-07-28|INDAH|CNJMN|3|3
2022-07-29|INHAL|CNXYG|3|9
2022-07-31|INKAK|CNDYN|4|7
2022-08-01|BEANR|NLRTM|62|770
2022-08-02|INHZR|CNTGS|8|17
2022-08-03|INMUN|CNNSA|4|12
2022-08-04|MXCZM|MXPVN|5|29
2022-08-05|USLAX|CNNGB|25|10
2022-08-06|INIXY|CNTGS|2|5
2022-08-07|INHAL|CNLYG|5|2
2022-08-08|VNHPH|CNQZH|3|14
2022-08-09|INNML|CNLSN|7|14
2022-08-10|MXPVN|MXCZM|6|22
2022-08-11|MXCZM|MXPVN|4|30
2022-08-12|INTUT|CNFAN|11|2
2022-08-13|MXLZC|CNCFD|1|2
2022-08-14|INVTZ|CNJIJ|1|5
2022-08-15|INMUN|CNTGS|3|4
2022-08-16|INKAK|CNZHE|8|4
2022-08-17|USLGB|CNXMN|5|3
2022-08-18|MXVER|ESVLC|3|4
2022-08-19|USBAL|TRKFZ|1|2
2022-08-20|INPPT|CNSHA|3|3
2022-08-21|INBOM|CNTAX|4|6
2022-08-22|VNCMT|CNSHK|2|9
2022-08-23|INBOM|CNTNG|2|5
2022-08-24|PKKHI|CNCGM|12|4
2022-08-25|INBOM|CNBSD|3|5
2022-08-26|INHZR|CNDLC|1|3
2022-08-27|USPAE|CNFAN|10|9
2022-08-28|INIXY|CNXYG|2|3
2022-08-29|USPON|PAPCN|16|15
2022-08-30|USEWR|BEANR|6|6
2022-08-31|VNHPH|CNQZH|20|15
2022-09-01|TRGEB|TRATV|153|939
2022-09-02|USPLQ|TRYIK|1|3
2022-09-03|INIXY|CNSON|4|7
2022-09-04|INMAA|CNTNG|12|4
2022-09-05|VNSGN|VNHPH|5|78
2022-09-06|TRGEB|TRATV|163|189
2022-09-07|TRATV|TRGEB|165|242
2022-09-08|INNSA|CNQZH|4|3
2022-09-09|INVTZ|CNTNG|1|1
2022-09-11|INHZR|CNRZH|3|4
2022-09-12|MXATM|MXVER|3|27
2022-09-13|INMAA|CNBSD|4|4
2022-09-14|MXCZM|MXPVN|10|36
2022-09-15|LBBEY|TRMER|2|9
2022-09-16|VNCMT|CNFAN|1|21
2022-09-19|VNHPH|CNNSA|9|8
2022-09-20|INKAK|CNNTG|5|3
2022-09-21|INMAA|CNTNG|12|94
2022-09-22|VNSGN|VNHPH|5|64
2022-09-23|INKAK|CNYNT|4|4
2022-09-25|INCOK|CNZNG|1|4
2022-09-26|VNCLO|TWMLI|1|2
2022-09-27|USLAX|CNNGB|34|8
2022-09-28|USLGB|CNSHA|36|8
2022-09-29|PHMNL|CNNGB|1|9
2022-09-30|INTUT|CNPLI|8|8
2022-10-01|NLRTM|BEANR|31|516
2022-10-02|INHZR|CNDLC|2|3
2022-10-03|TRATV|TRGEB|148|282
2022-10-04|VNCMT|TWKHH|1|1
2022-10-05|USPAU|NLRTM|6|11
2022-10-06|INKAK|CNZHE|6|48
2022-10-07|INVAD|CNPLI|3|3
2022-10-08|VNDNA|CNZHA|1|5
2022-10-09|INJGD|CNYUH|2|3
2022-10-10|TRATV|CNZOS|4|6
2022-10-11|INBOM|CNSHA|1|2
2022-10-12|VNSGN|VNCMT|6|71
2022-10-13|MXPIC|MXTPB|6|87
2022-10-14|VNHPH|CNQZH|3|12
2022-10-16|INKRI|CNCAN|2|2
2022-10-17|INMAA|CNBSD|1|5
2022-10-18|INTUT|CNCGS|3|1
2022-10-19|INMUN|CNCGM|3|3
2022-10-20|INBOM|CNSHA|4|18
2022-10-21|INENR|CNYJI|1|6
2022-10-22|INKRI|CNTNG|1|4
2022-10-23|INVTZ|CNDLC|4|8
2022-10-24|VNHPH|VNCMT|8|106
2022-10-25|MXZLO|CNLYG|2|7
2022-10-26|USDVV|NLRTM|6|10
2022-10-27|VNHPH|CNDGG|1|12
2022-10-28|VNSGN|CNTAO|1|4
2022-10-29|INVTZ|CNTNG|4|5
2022-10-30|INDMA|CNWEI|2|4
2022-11-01|TRATV|TRGEB|145|880
2022-11-02|INMAA|CNTNG|2|4
2022-11-03|SGSIN|VNCMT|3|15
2022-11-04|VNHPH|VNSGN|4|64
2022-11-05|VNHPH|HKHKG|2|6
2022-11-06|INMUN|CNRZH|3|6
2022-11-08|USLAX|CNNGB|8|8
2022-11-09|MXPVN|MXCZM|3|38
2022-11-10|TRATV|CNNJG|6|3
2022-11-11|USLAX|CNTAO|30|17
2022-11-13|INSIK|RUVYP|3|12
2022-11-14|TRATV|TRGEB|137|215
2022-11-15|MXCZM|MXPVN|5|39
2022-11-16|INDAH|CNTNG|6|19
2022-11-17|INKRI|CNZOS|4|8
2022-11-18|INCCU|CNSHA|2|8
2022-11-19|INVTZ|CNZOS|4|3
2022-11-21|SGSIN|VNSGN|2|5
2022-11-22|INVTZ|CNXMN|2|4
2022-11-23|USLAX|CNNGB|9|12
2022-11-24|INBOM|CNBSD|2|2
2022-11-25|INPPT|CNLSN|3|3
2022-11-26|INVTZ|CNYZH|1|4
2022-11-27|INVTZ|CNJGJ|2|4
2022-11-28|VNDQT|CNRZH|1|9
2022-11-29|VNVAG|TWKHH|4|7
2022-11-30|TRIST|CNTAC|2|6
2022-12-01|BEANR|NLRTM|40|413
2022-12-02|TRAYT|CNZOS|3|1
2022-12-03|INIXY|CNZOS|2|16
2022-12-04|INBOM|CNSHA|4|5
2022-12-05|BRVIX|MACAS|1|1
2022-12-07|VNHPH|CNCAN|4|17
2022-12-09|USHVN|TRGEM|1|3
2022-12-10|INVTZ|CNTNG|1|8
2022-12-11|INVTZ|CNYZH|4|6
2022-12-12|INPPT|CNZHE|3|5
2022-12-13|VNCLO|CNYPG|4|33
2022-12-14|MXPVN|MXCZM|6|40
2022-12-15|VNHPH|CNQZH|2|13
2022-12-16|INKRI|CNCAN|1|6
2022-12-17|INMUN|CNZOS|1|3
2022-12-20|USLAX|CNNGB|2|11
2022-12-21|INBOM|CNLSN|4|3
2022-12-22|INENR|CNJMN|3|5
2022-12-23|VNHPH|CNQZH|6|10
2022-12-24|INDAH|CNNJG|2|6
2022-12-25|INKRK|CNTNG|1|1
2022-12-26|INIXY|CNCZX|2|5
2022-12-27|USNSS|TRALI|3|2
2022-12-28|INMAA|CNSHA|1|4
2022-12-29|VNHPH|CNQZH|1|5
2022-12-30|VNHPH|CNSHA|4|9
